k,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy
1,0.333333,0.909661,0.920797,0.928938
2,0.555556,0.996867,0.999377,0.998134
3,0.703704,0.999791,1.000000,0.999922
4,0.802469,1.000000,1.000000,1.000000
