delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy
0.000000,0.909423,0.920702,0.612938
2.000000,0.961577,0.972858,0.638127
4.000000,0.978596,0.988998,0.646437
6.000000,0.983660,0.993617,0.650439
8.000000,0.988410,0.997509,0.653619
10.000000,0.992900,0.998806,0.655723
12.000000,0.995458,0.999429,0.657723
14.000000,0.997860,0.999741,0.658698
16.000000,0.998799,0.999792,0.659365
18.000000,0.999113,0.999896,0.659570
20.000000,0.999269,0.999896,0.659570
22.000000,0.999374,0.999896,0.659621
24.000000,0.999478,0.999896,0.659621
26.000000,0.999582,0.999896,0.659673
28.000000,0.999582,0.999896,0.659775
30.000000,0.999635,0.999896,0.659775
32.000000,0.999635,0.999896,0.659827
34.000000,0.999687,0.999896,0.659827
36.000000,0.999739,0.999896,0.659827
38.000000,0.999739,0.999896,0.659827
40.000000,0.999739,0.999896,0.659827
