scenario,write_ok,write_err_version,write_quorum_retry,write_other_err,read_ok,read_no_key,read_quorum_retry,read_err,refresh_ok,refresh_err
observe_baseline,5380,0,1,0,19149,1,5,0,1,0
observe_read_repair,5405,0,0,0,19267,1,1,0,0,0
observe_anti_entropy,5194,2,22,0,12843,6647,3,0,19,0
