delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.906000,0.991751,0.990065,0.990983,0.989413
1.000000,0.953000,0.997192,0.996263,0.996337,0.996376
2.000000,0.991000,0.999298,0.998359,0.998779,0.998379
3.000000,0.996000,0.999649,0.999271,0.999530,0.999428
4.000000,1.000000,0.999824,0.999544,0.999812,0.999619
5.000000,1.000000,0.999912,0.999635,0.999906,0.999619
6.000000,1.000000,0.999912,0.999635,0.999906,0.999809
7.000000,1.000000,1.000000,0.999909,0.999906,0.999809
8.000000,1.000000,1.000000,0.999909,1.000000,0.999809
9.000000,1.000000,1.000000,0.999909,1.000000,0.999809
10.000000,1.000000,1.000000,0.999909,1.000000,1.000000
11.000000,1.000000,1.000000,0.999909,1.000000,1.000000
12.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19.000000,1.000000,1.000000,1.000000,1.000000,1.000000
20.000000,1.000000,1.000000,1.000000,1.000000,1.000000
