delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.964430,0.966103,0.965843,0.973585
1.000000,0.969310,0.970486,0.969961,0.979289
2.000000,0.972032,0.972811,0.972207,0.981834
3.000000,0.973064,0.973169,0.972955,0.982624
4.000000,0.973252,0.973258,0.973236,0.982975
5.000000,0.973534,0.973348,0.973517,0.983151
6.000000,0.973627,0.973437,0.973610,0.983151
7.000000,0.973815,0.973527,0.973610,0.983151
8.000000,0.973815,0.973616,0.973797,0.983151
9.000000,0.973815,0.973616,0.973797,0.983151
10.000000,0.973815,0.973616,0.973797,0.983238
11.000000,0.973909,0.973616,0.973891,0.983238
12.000000,0.973909,0.973616,0.973891,0.983238
13.000000,0.973909,0.973616,0.973891,0.983326
14.000000,0.973909,0.973616,0.973891,0.983326
15.000000,0.973909,0.973616,0.973891,0.983326
16.000000,0.973909,0.973616,0.973891,0.983326
17.000000,0.973909,0.973616,0.973891,0.983326
18.000000,0.973909,0.973616,0.973891,0.983326
19.000000,0.973909,0.973616,0.973891,0.983326
20.000000,0.973909,0.973616,0.973891,0.983326
