delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.564600,0.760557,0.933220,0.795352,0.797814
0.400000,0.574600,0.789965,0.952259,0.824507,0.829715
0.800000,0.586000,0.824251,0.969309,0.855211,0.858071
1.200000,0.682200,0.857561,0.980676,0.879859,0.882292
1.600000,0.694600,0.881812,0.986928,0.900000,0.904445
2.000000,0.765800,0.908990,0.993464,0.920282,0.923497
2.400000,0.780800,0.926969,0.995595,0.935775,0.938857
2.800000,0.789000,0.944111,0.998153,0.951127,0.952297
3.200000,0.856800,0.955679,0.998579,0.963662,0.961453
3.600000,0.860800,0.966411,0.999716,0.972254,0.969576
4.000000,0.910400,0.974774,0.999716,0.978169,0.979471
4.400000,0.916600,0.980070,0.999716,0.985070,0.984197
4.800000,0.929200,0.986481,0.999716,0.988873,0.987890
5.200000,0.965600,0.991359,0.999716,0.991268,0.989514
5.600000,0.962000,0.995122,0.999716,0.992958,0.991434
6.000000,0.984600,0.996655,0.999716,0.994789,0.992763
6.400000,0.987400,0.997770,0.999716,0.995915,0.993649
6.800000,0.990000,0.998467,0.999858,0.996197,0.994388
7.200000,0.999800,0.999024,1.000000,0.996761,0.995126
7.600000,0.999200,0.999164,1.000000,0.996901,0.995422
8.000000,0.999400,0.999303,1.000000,0.997042,0.995865
8.400000,0.999800,0.999582,1.000000,0.997746,0.996308
8.800000,0.999800,0.999861,1.000000,0.998310,0.996455
9.200000,1.000000,1.000000,1.000000,0.998732,0.996455
9.600000,1.000000,1.000000,1.000000,0.999155,0.996455
10.000000,1.000000,1.000000,1.000000,0.999577,0.996455
10.400000,1.000000,1.000000,1.000000,0.999859,0.996455
10.800000,1.000000,1.000000,1.000000,0.999859,0.996455
11.200000,1.000000,1.000000,1.000000,0.999859,0.996455
11.600000,1.000000,1.000000,1.000000,0.999859,0.996455
12.000000,1.000000,1.000000,1.000000,1.000000,0.996455
12.400000,1.000000,1.000000,1.000000,1.000000,0.996455
12.800000,1.000000,1.000000,1.000000,1.000000,0.996455
13.200000,1.000000,1.000000,1.000000,1.000000,0.996455
13.600000,1.000000,1.000000,1.000000,1.000000,0.996455
14.000000,1.000000,1.000000,1.000000,1.000000,0.996455
14.400000,1.000000,1.000000,1.000000,1.000000,0.996455
14.800000,1.000000,1.000000,1.000000,1.000000,0.996455
15.200000,1.000000,1.000000,1.000000,1.000000,0.996455
15.600000,1.000000,1.000000,1.000000,1.000000,0.996455
16.000000,1.000000,1.000000,1.000000,1.000000,0.996455
16.400000,1.000000,1.000000,1.000000,1.000000,0.996455
16.800000,1.000000,1.000000,1.000000,1.000000,0.996455
17.200000,1.000000,1.000000,1.000000,1.000000,0.996455
17.600000,1.000000,1.000000,1.000000,1.000000,0.996455
18.000000,1.000000,1.000000,1.000000,1.000000,0.996455
18.400000,1.000000,1.000000,1.000000,1.000000,0.996455
18.800000,1.000000,1.000000,1.000000,1.000000,0.996455
19.200000,1.000000,1.000000,1.000000,1.000000,0.996455
19.600000,1.000000,1.000000,1.000000,1.000000,0.996455
20.000000,1.000000,1.000000,1.000000,1.000000,0.996455
