delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy
0.000000,0.685667,0.999612,0.999836,0.999918
0.400000,0.997000,0.999922,0.999918,1.000000
0.800000,0.999667,1.000000,0.999918,1.000000
1.200000,1.000000,1.000000,0.999918,1.000000
1.600000,1.000000,1.000000,0.999918,1.000000
2.000000,0.999333,1.000000,1.000000,1.000000
2.400000,1.000000,1.000000,1.000000,1.000000
2.800000,0.999667,1.000000,1.000000,1.000000
3.200000,0.999667,1.000000,1.000000,1.000000
3.600000,1.000000,1.000000,1.000000,1.000000
4.000000,1.000000,1.000000,1.000000,1.000000
4.400000,1.000000,1.000000,1.000000,1.000000
4.800000,0.999667,1.000000,1.000000,1.000000
5.200000,1.000000,1.000000,1.000000,1.000000
5.600000,1.000000,1.000000,1.000000,1.000000
6.000000,1.000000,1.000000,1.000000,1.000000
6.400000,1.000000,1.000000,1.000000,1.000000
6.800000,1.000000,1.000000,1.000000,1.000000
7.200000,1.000000,1.000000,1.000000,1.000000
7.600000,1.000000,1.000000,1.000000,1.000000
8.000000,1.000000,1.000000,1.000000,1.000000
8.400000,1.000000,1.000000,1.000000,1.000000
8.800000,1.000000,1.000000,1.000000,1.000000
9.200000,1.000000,1.000000,1.000000,1.000000
9.600000,1.000000,1.000000,1.000000,1.000000
10.000000,1.000000,1.000000,1.000000,1.000000
10.400000,1.000000,1.000000,1.000000,1.000000
10.800000,1.000000,1.000000,1.000000,1.000000
11.200000,1.000000,1.000000,1.000000,1.000000
11.600000,1.000000,1.000000,1.000000,1.000000
12.000000,1.000000,1.000000,1.000000,1.000000
12.400000,1.000000,1.000000,1.000000,1.000000
12.800000,1.000000,1.000000,1.000000,1.000000
13.200000,1.000000,1.000000,1.000000,1.000000
13.600000,1.000000,1.000000,1.000000,1.000000
14.000000,1.000000,1.000000,1.000000,1.000000
14.400000,1.000000,1.000000,1.000000,1.000000
14.800000,1.000000,1.000000,1.000000,1.000000
15.200000,1.000000,1.000000,1.000000,1.000000
15.600000,1.000000,1.000000,1.000000,1.000000
16.000000,1.000000,1.000000,1.000000,1.000000
16.400000,1.000000,1.000000,1.000000,1.000000
16.800000,1.000000,1.000000,1.000000,1.000000
17.200000,1.000000,1.000000,1.000000,1.000000
17.600000,1.000000,1.000000,1.000000,1.000000
18.000000,1.000000,1.000000,1.000000,1.000000
18.400000,1.000000,1.000000,1.000000,1.000000
18.800000,1.000000,1.000000,1.000000,1.000000
19.200000,1.000000,1.000000,1.000000,1.000000
19.600000,1.000000,1.000000,1.000000,1.000000
20.000000,1.000000,1.000000,1.000000,1.000000
