delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.900592,0.891375,0.880493,0.877606
10.000000,0.999775,0.999674,0.982110,0.999725
20.000000,0.999775,0.999674,0.982110,0.999725
30.000000,0.999775,0.999674,0.982110,0.999725
40.000000,0.999775,0.999674,0.982110,0.999725
50.000000,0.999775,0.999674,0.982110,0.999725
60.000000,0.999775,0.999674,0.982110,0.999725
70.000000,0.999775,0.999674,0.982110,0.999725
80.000000,0.999775,0.999674,0.982110,0.999725
90.000000,0.999775,0.999674,0.982110,0.999725
100.000000,0.999775,0.999674,0.982110,0.999725
110.000000,0.999775,0.999674,0.982110,0.999725
120.000000,0.999775,0.999674,0.982110,0.999725
130.000000,0.999775,0.999674,0.982110,0.999725
140.000000,0.999775,0.999674,0.982110,0.999725
150.000000,0.999775,0.999674,0.982110,0.999725
160.000000,0.999775,0.999674,0.982110,0.999725
170.000000,0.999775,0.999674,0.982110,0.999725
180.000000,0.999775,0.999674,0.982110,0.999725
190.000000,0.999775,0.999674,0.982110,0.999725
200.000000,0.999775,0.999674,0.982110,0.999725
