delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy
0.000000,0.913437,0.922738,0.915946
2.000000,0.965151,0.973989,0.964192
4.000000,0.980174,0.989529,0.980479
6.000000,0.984754,0.993222,0.985219
8.000000,0.989557,0.996032,0.989682
10.000000,0.993019,0.998347,0.993140
12.000000,0.996202,0.999339,0.995873
14.000000,0.998157,0.999614,0.997713
16.000000,0.999218,0.999724,0.998773
18.000000,0.999553,0.999780,0.999275
20.000000,0.999721,0.999780,0.999331
22.000000,0.999777,0.999780,0.999442
24.000000,0.999832,0.999835,0.999554
26.000000,0.999832,0.999835,0.999610
28.000000,0.999832,0.999835,0.999665
30.000000,0.999832,0.999835,0.999777
32.000000,0.999832,0.999835,0.999777
34.000000,0.999832,0.999835,0.999777
36.000000,0.999832,0.999835,0.999833
38.000000,0.999832,0.999835,0.999833
40.000000,0.999832,0.999835,0.999833
