delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy
0.000000,0.571000,0.913590,0.922890,0.916100
2.000000,0.859000,0.965313,0.974150,0.964353
4.000000,0.993000,0.980338,0.989693,0.980643
6.000000,0.996000,0.984919,0.993386,0.985384
8.000000,0.999000,0.989722,0.996197,0.989847
10.000000,0.999000,0.993185,0.998512,0.993306
12.000000,1.000000,0.996369,0.999504,0.996039
14.000000,1.000000,0.998324,0.999780,0.997880
16.000000,1.000000,0.999386,0.999890,0.998940
18.000000,1.000000,0.999721,0.999945,0.999442
20.000000,1.000000,0.999888,0.999945,0.999498
22.000000,1.000000,0.999944,0.999945,0.999610
24.000000,1.000000,1.000000,1.000000,0.999721
26.000000,1.000000,1.000000,1.000000,0.999777
28.000000,1.000000,1.000000,1.000000,0.999833
30.000000,1.000000,1.000000,1.000000,0.999944
32.000000,1.000000,1.000000,1.000000,0.999944
34.000000,1.000000,1.000000,1.000000,0.999944
36.000000,1.000000,1.000000,1.000000,1.000000
38.000000,1.000000,1.000000,1.000000,1.000000
40.000000,1.000000,1.000000,1.000000,1.000000
