name,label,kind,read_repair,anti_entropy,hinted_handoff,failure_mode,notes
predict_baseline,predict_baseline,predict,false,false,false,none,"PBS baseline predictor without read repair, anti-entropy, or hinted handoff."
observe_baseline,observe_baseline,observe,false,false,false,none,Observed PBS curve from the corresponding demo scenario.
observe_read_repair,observe_read_repair,observe,true,false,false,none,Observed PBS curve from the corresponding demo scenario.
observe_anti_entropy,observe_anti_entropy,observe,false,true,false,none,Observed PBS curve from the corresponding demo scenario.
