delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.999980,1.000000,0.999958,0.978206
1.000000,0.999980,1.000000,0.999958,0.978269
2.000000,0.999980,1.000000,0.999958,0.978269
3.000000,0.999980,1.000000,0.999958,0.978269
4.000000,0.999980,1.000000,0.999958,0.978269
5.000000,0.999980,1.000000,0.999958,0.978269
6.000000,0.999980,1.000000,0.999958,0.978269
7.000000,0.999980,1.000000,0.999958,0.978269
8.000000,0.999980,1.000000,0.999958,0.978269
9.000000,0.999980,1.000000,0.999958,0.978269
10.000000,0.999980,1.000000,0.999958,0.978269
11.000000,0.999980,1.000000,0.999958,0.978269
12.000000,0.999980,1.000000,0.999958,0.978269
13.000000,0.999980,1.000000,0.999958,0.978269
14.000000,0.999980,1.000000,0.999958,0.978269
15.000000,0.999980,1.000000,0.999958,0.978269
16.000000,0.999980,1.000000,0.999958,0.978269
17.000000,0.999980,1.000000,0.999958,0.978269
18.000000,0.999980,1.000000,0.999958,0.978269
19.000000,0.999980,1.000000,0.999958,0.978269
20.000000,0.999980,1.000000,0.999958,0.978269
