delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.571600,0.776712,0.974055,0.799279,0.812696
0.400000,0.597800,0.808303,0.982159,0.828766,0.839517
0.800000,0.572600,0.840620,0.988775,0.857341,0.866943
1.200000,0.689600,0.867499,0.993099,0.882401,0.889507
1.600000,0.693000,0.892556,0.996020,0.903987,0.909174
2.000000,0.763600,0.915249,0.997838,0.924562,0.927556
2.400000,0.784000,0.930881,0.998826,0.939623,0.941974
2.800000,0.786000,0.946484,0.999513,0.953730,0.955168
3.200000,0.858000,0.959269,0.999800,0.964596,0.965234
3.600000,0.855000,0.969363,0.999885,0.973219,0.973627
4.000000,0.908200,0.977791,0.999928,0.981003,0.980224
4.400000,0.909400,0.982645,0.999986,0.986125,0.984452
4.800000,0.923200,0.987813,0.999986,0.990509,0.987859
5.200000,0.959800,0.991159,1.000000,0.993084,0.990801
5.600000,0.961000,0.993437,1.000000,0.994820,0.992753
6.000000,0.984400,0.995572,1.000000,0.996253,0.994518
6.400000,0.987200,0.996654,1.000000,0.997135,0.995648
6.800000,0.988000,0.997466,1.000000,0.997888,0.996469
7.200000,0.996800,0.997907,1.000000,0.998264,0.997058
7.600000,0.998200,0.998249,1.000000,0.998625,0.997445
8.000000,0.999400,0.998619,1.000000,0.998900,0.997816
8.400000,0.999200,0.999132,1.000000,0.999132,0.998049
8.800000,0.999000,0.999302,1.000000,0.999349,0.998343
9.200000,0.999400,0.999431,1.000000,0.999566,0.998575
9.600000,0.999800,0.999616,1.000000,0.999595,0.998684
10.000000,0.999800,0.999701,1.000000,0.999624,0.998839
10.400000,1.000000,0.999772,1.000000,0.999667,0.998885
10.800000,1.000000,0.999815,1.000000,0.999696,0.998931
11.200000,0.999800,0.999872,1.000000,0.999769,0.998993
11.600000,1.000000,0.999929,1.000000,0.999797,0.999102
12.000000,1.000000,0.999929,1.000000,0.999812,0.999117
12.400000,1.000000,0.999943,1.000000,0.999826,0.999164
12.800000,1.000000,0.999957,1.000000,0.999841,0.999226
13.200000,1.000000,0.999957,1.000000,0.999870,0.999288
13.600000,1.000000,0.999957,1.000000,0.999884,0.999334
14.000000,1.000000,0.999957,1.000000,0.999884,0.999350
14.400000,1.000000,0.999972,1.000000,0.999884,0.999350
14.800000,1.000000,0.999986,1.000000,0.999913,0.999350
15.200000,1.000000,0.999986,1.000000,0.999913,0.999443
15.600000,1.000000,0.999986,1.000000,0.999913,0.999458
16.000000,1.000000,1.000000,1.000000,0.999942,0.999473
16.400000,1.000000,1.000000,1.000000,0.999957,0.999535
16.800000,1.000000,1.000000,1.000000,0.999957,0.999613
17.200000,1.000000,1.000000,1.000000,0.999986,0.999644
17.600000,1.000000,1.000000,1.000000,0.999986,0.999690
18.000000,1.000000,1.000000,1.000000,1.000000,0.999690
18.400000,1.000000,1.000000,1.000000,1.000000,0.999721
18.800000,1.000000,1.000000,1.000000,1.000000,0.999752
19.200000,1.000000,1.000000,1.000000,1.000000,0.999783
19.600000,1.000000,1.000000,1.000000,1.000000,0.999799
20.000000,1.000000,1.000000,1.000000,1.000000,0.999845
