delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.577600,0.903005,0.985300,0.809073,0.902951
0.333333,0.561800,0.916481,0.990768,0.836294,0.916108
0.666666,0.610600,0.927646,0.994889,0.860370,0.930518
1.000000,0.641400,0.938375,0.997445,0.881373,0.942172
1.333333,0.674000,0.947752,0.998681,0.898920,0.952008
1.666666,0.675800,0.955733,0.999423,0.916755,0.960278
2.000000,0.726600,0.962885,0.999643,0.932813,0.968799
2.333333,0.744000,0.969078,0.999808,0.944527,0.973874
2.666666,0.752800,0.974399,0.999863,0.955881,0.978447
3.000000,0.793200,0.978499,0.999918,0.964594,0.983084
3.333333,0.810000,0.981595,0.999945,0.971483,0.985653
3.666666,0.824200,0.984997,0.999945,0.977412,0.989224
4.000000,0.853600,0.987221,0.999945,0.982669,0.991605
4.333333,0.868600,0.989402,0.999973,0.986318,0.993108
4.666666,0.875200,0.991190,0.999973,0.989822,0.994487
5.000000,0.895200,0.992499,1.000000,0.991935,0.996116
5.333333,0.906200,0.993545,1.000000,0.993591,0.996993
5.666666,0.913000,0.994636,1.000000,0.994743,0.998120
6.000000,0.934000,0.995377,1.000000,0.995703,0.998622
6.333333,0.933600,0.995944,1.000000,0.996231,0.999311
6.666666,0.941200,0.996598,1.000000,0.996639,0.999812
7.000000,0.946800,0.997122,1.000000,0.997072,1.000000
7.333333,0.958000,0.997470,1.000000,0.997360,1.000000
7.666666,0.952400,0.997776,1.000000,0.997552,1.000000
8.000000,0.955800,0.998125,1.000000,0.997768,1.000000
8.333333,0.959600,0.998168,1.000000,0.997960,1.000000
8.666666,0.964600,0.998517,1.000000,0.998128,1.000000
9.000000,0.969400,0.998735,1.000000,0.998368,1.000000
9.333333,0.968200,0.998910,1.000000,0.998608,1.000000
9.666666,0.972000,0.998953,1.000000,0.998728,1.000000
10.000000,0.976600,0.999128,1.000000,0.998824,1.000000
10.333333,0.974600,0.999215,1.000000,0.998896,1.000000
10.666666,0.975200,0.999259,1.000000,0.999016,1.000000
11.000000,0.978400,0.999346,1.000000,0.999064,1.000000
11.333333,0.980600,0.999477,1.000000,0.999184,1.000000
11.666666,0.979400,0.999477,1.000000,0.999400,1.000000
12.000000,0.981000,0.999477,1.000000,0.999472,1.000000
12.333333,0.981600,0.999477,1.000000,0.999544,1.000000
12.666666,0.983600,0.999477,1.000000,0.999592,1.000000
13.000000,0.982400,0.999477,1.000000,0.999640,1.000000
13.333333,0.983000,0.999477,1.000000,0.999808,1.000000
13.666666,0.985800,0.999477,1.000000,0.999928,1.000000
14.000000,0.987600,0.999477,1.000000,1.000000,1.000000
14.333333,0.988000,0.999477,1.000000,1.000000,1.000000
14.666666,0.987000,0.999477,1.000000,1.000000,1.000000
15.000000,0.991000,0.999520,1.000000,1.000000,1.000000
15.333333,0.989200,0.999520,1.000000,1.000000,1.000000
15.666666,0.989800,0.999520,1.000000,1.000000,1.000000
16.000000,0.990200,0.999607,1.000000,1.000000,1.000000
16.333333,0.992000,0.999607,1.000000,1.000000,1.000000
16.666666,0.989600,0.999651,1.000000,1.000000,1.000000
17.000000,0.991600,0.999651,1.000000,1.000000,1.000000
17.333333,0.988600,0.999651,1.000000,1.000000,1.000000
17.666666,0.992400,0.999651,1.000000,1.000000,1.000000
18.000000,0.991600,0.999651,1.000000,1.000000,1.000000
18.333333,0.993600,0.999651,1.000000,1.000000,1.000000
18.666666,0.991400,0.999651,1.000000,1.000000,1.000000
19.000000,0.990800,0.999651,1.000000,1.000000,1.000000
19.333333,0.991600,0.999651,1.000000,1.000000,1.000000
19.666666,0.991800,0.999651,1.000000,1.000000,1.000000
20.000000,0.993000,0.999695,1.000000,1.000000,1.000000
