delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.562600,0.815495,0.982421,0.809198,0.839826
0.416666,0.594400,0.847698,0.990307,0.841436,0.866366
0.833333,0.610400,0.878903,0.995136,0.872024,0.892773
1.250000,0.678400,0.903046,0.997765,0.897126,0.914038
1.666666,0.697000,0.924452,0.999142,0.919327,0.932370
2.083333,0.736800,0.943085,0.999589,0.936996,0.948412
2.500000,0.758200,0.956948,0.999785,0.951544,0.961336
2.916666,0.796800,0.968400,0.999875,0.963927,0.972101
3.333333,0.830200,0.976735,0.999911,0.972910,0.979509
3.750000,0.831800,0.983330,0.999946,0.980502,0.985264
4.166666,0.868800,0.988600,0.999964,0.985292,0.990167
4.583333,0.881000,0.992096,0.999964,0.989267,0.993338
5.000000,0.910400,0.994799,0.999982,0.993083,0.996216
5.416666,0.924800,0.996091,0.999982,0.994773,0.997389
5.833333,0.938600,0.997176,0.999982,0.995667,0.998534
6.250000,0.951800,0.998071,0.999982,0.996383,0.999254
6.666666,0.952800,0.998622,0.999982,0.996820,0.999494
7.083333,0.960200,0.998932,0.999982,0.997357,0.999654
7.500000,0.965400,0.999208,0.999982,0.997675,0.999734
7.916666,0.974400,0.999414,0.999982,0.997933,0.999840
8.333333,0.972200,0.999518,0.999982,0.998132,0.999867
8.750000,0.977000,0.999604,1.000000,0.998231,0.999920
9.166666,0.982600,0.999690,1.000000,0.998311,0.999947
9.583333,0.983000,0.999724,1.000000,0.998489,0.999973
10.000000,0.984400,0.999776,1.000000,0.998648,0.999973
10.416666,0.985400,0.999828,1.000000,0.998688,0.999973
10.833333,0.986800,0.999845,1.000000,0.998708,0.999973
11.250000,0.987800,0.999845,1.000000,0.998728,0.999973
11.666666,0.990000,0.999879,1.000000,0.998827,1.000000
12.083333,0.989400,0.999948,1.000000,0.998947,1.000000
12.500000,0.992200,0.999983,1.000000,0.998966,1.000000
12.916666,0.994400,1.000000,1.000000,0.998966,1.000000
13.333333,0.994200,1.000000,1.000000,0.999026,1.000000
13.750000,0.995000,1.000000,1.000000,0.999086,1.000000
14.166666,0.995200,1.000000,1.000000,0.999145,1.000000
14.583333,0.994400,1.000000,1.000000,0.999225,1.000000
15.000000,0.996600,1.000000,1.000000,0.999245,1.000000
15.416666,0.996200,1.000000,1.000000,0.999284,1.000000
15.833333,0.997200,1.000000,1.000000,0.999384,1.000000
16.250000,0.996200,1.000000,1.000000,0.999424,1.000000
16.666666,0.998600,1.000000,1.000000,0.999483,1.000000
17.083333,0.997800,1.000000,1.000000,0.999563,1.000000
17.500000,0.997400,1.000000,1.000000,0.999583,1.000000
17.916666,0.997400,1.000000,1.000000,0.999642,1.000000
18.333333,0.999000,1.000000,1.000000,0.999662,1.000000
18.750000,0.997600,1.000000,1.000000,0.999682,1.000000
19.166666,0.999000,1.000000,1.000000,0.999722,1.000000
19.583333,0.999200,1.000000,1.000000,0.999722,1.000000
20.000000,0.999600,1.000000,1.000000,0.999742,1.000000
20.416666,0.998600,1.000000,1.000000,0.999801,1.000000
20.833333,0.999400,1.000000,1.000000,0.999821,1.000000
21.250000,0.999400,1.000000,1.000000,0.999861,1.000000
21.666666,0.999600,1.000000,1.000000,0.999861,1.000000
22.083333,0.999600,1.000000,1.000000,0.999920,1.000000
22.500000,0.999800,1.000000,1.000000,0.999960,1.000000
22.916666,0.999800,1.000000,1.000000,0.999960,1.000000
23.333333,0.999800,1.000000,1.000000,0.999960,1.000000
23.750000,1.000000,1.000000,1.000000,0.999960,1.000000
24.166666,0.999800,1.000000,1.000000,0.999980,1.000000
24.583333,1.000000,1.000000,1.000000,1.000000,1.000000
25.000000,1.000000,1.000000,1.000000,1.000000,1.000000
