delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.901217,0.912024,0.905081,0.896697
10.000000,0.998957,0.998641,0.998236,0.997892
20.000000,0.998957,0.998641,0.998589,0.998243
30.000000,0.998957,0.998641,0.998589,0.998243
40.000000,0.998957,0.998641,0.998589,0.998243
50.000000,0.998957,0.998641,0.998589,0.998243
60.000000,0.998957,0.998641,0.998589,0.998243
70.000000,0.998957,0.998641,0.998589,0.998243
80.000000,0.998957,0.998641,0.998589,0.998243
90.000000,0.998957,0.998641,0.998589,0.998243
100.000000,0.998957,0.998641,0.998589,0.998243
110.000000,0.998957,0.998641,0.998589,0.998243
120.000000,0.998957,0.998641,0.998589,0.998243
130.000000,0.998957,0.998641,0.998589,0.998243
140.000000,0.998957,0.998641,0.998589,0.998243
150.000000,0.998957,0.998641,0.998589,0.998243
160.000000,0.998957,0.998641,0.998589,0.998243
170.000000,0.998957,0.998641,0.998589,0.998243
180.000000,0.998957,0.998641,0.998589,0.998243
190.000000,0.998957,0.998641,0.998589,0.998243
200.000000,0.998957,0.998641,0.998589,0.998243
