delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy
0.000000,0.568000,0.929745,0.932265,0.932563
0.500000,0.571000,0.947791,0.948703,0.948781
1.000000,0.695000,0.963803,0.965298,0.965941
1.500000,0.759000,0.975539,0.976883,0.976928
2.000000,0.845000,0.984822,0.986954,0.986659
2.500000,0.874000,0.990820,0.992694,0.992571
3.000000,0.941000,0.995880,0.997078,0.996495
3.500000,0.969000,0.998487,0.998852,0.998064
4.000000,0.979000,0.999896,0.999687,0.999634
4.500000,1.000000,0.999948,0.999948,0.999948
5.000000,0.999000,0.999948,0.999948,0.999948
5.500000,0.999000,0.999948,0.999948,0.999948
6.000000,1.000000,1.000000,0.999948,0.999948
6.500000,0.998000,1.000000,0.999948,0.999948
7.000000,0.999000,1.000000,0.999948,0.999948
7.500000,1.000000,1.000000,0.999948,0.999948
8.000000,1.000000,1.000000,0.999948,0.999948
8.500000,1.000000,1.000000,0.999948,1.000000
9.000000,1.000000,1.000000,0.999948,1.000000
9.500000,1.000000,1.000000,0.999948,1.000000
10.000000,1.000000,1.000000,0.999948,1.000000
