delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy
0.000000,0.968105,0.994522,0.994237
1.000000,0.968105,0.994522,0.994237
2.000000,0.968105,0.994522,0.994237
3.000000,0.968105,0.994522,0.994237
4.000000,0.968105,0.994522,0.994237
5.000000,0.968105,0.994522,0.994237
6.000000,0.968105,0.994522,0.994237
7.000000,0.968105,0.994522,0.994237
8.000000,0.968105,0.994522,0.994237
9.000000,0.968105,0.994522,0.994237
10.000000,0.968105,0.994522,0.994237
11.000000,0.968105,0.994522,0.994237
12.000000,0.968105,0.994522,0.994237
13.000000,0.968105,0.994522,0.994237
14.000000,0.968105,0.994522,0.994237
15.000000,0.968105,0.994522,0.994237
16.000000,0.968105,0.994522,0.994237
17.000000,0.968105,0.994522,0.994237
18.000000,0.968105,0.994522,0.994237
19.000000,0.968105,0.994522,0.994237
20.000000,0.968105,0.994522,0.994237
