k,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy
1,0.333333,0.935176,0.936653,0.935930
2,0.555556,0.997978,0.997972,0.997612
3,0.703704,0.999975,0.999987,0.999962
4,0.802469,1.000000,1.000000,1.000000
