delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.932680,0.934268,0.932450,0.931340
0.250000,0.941220,0.943165,0.940662,0.938396
0.500000,0.949391,0.950911,0.949192,0.945994
0.750000,0.956877,0.958499,0.957245,0.953539
1.000000,0.964574,0.965459,0.965086,0.960378
1.250000,0.971322,0.971112,0.972026,0.966348
1.500000,0.977173,0.976240,0.976742,0.972264
1.750000,0.982392,0.981683,0.982252,0.977855
2.000000,0.986715,0.985870,0.986437,0.982143
2.250000,0.989351,0.989690,0.988715,0.984477
2.500000,0.991723,0.992150,0.990675,0.986539
2.750000,0.994412,0.994296,0.993801,0.989362
3.000000,0.996362,0.996337,0.995391,0.991696
3.250000,0.997259,0.997436,0.996821,0.992835
3.500000,0.997997,0.998430,0.997616,0.993812
3.750000,0.998735,0.999163,0.998358,0.994572
4.000000,0.999157,0.999320,0.998993,0.995549
4.250000,0.999526,0.999529,0.999364,0.995766
4.500000,0.999526,0.999581,0.999364,0.995766
4.750000,0.999526,0.999581,0.999364,0.995766
5.000000,0.999526,0.999581,0.999364,0.995875
