delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.898816,0.897265,0.896527,0.883529
10.000000,0.999670,0.999893,0.999783,0.999674
20.000000,0.999725,0.999893,0.999783,0.999674
30.000000,0.999725,0.999893,0.999783,0.999674
40.000000,0.999725,0.999893,0.999783,0.999674
50.000000,0.999725,0.999893,0.999783,0.999674
60.000000,0.999725,0.999893,0.999783,0.999674
70.000000,0.999725,0.999893,0.999783,0.999674
80.000000,0.999725,0.999893,0.999783,0.999674
90.000000,0.999725,0.999893,0.999783,0.999674
100.000000,0.999725,0.999893,0.999783,0.999674
110.000000,0.999725,0.999893,0.999783,0.999674
120.000000,0.999725,0.999893,0.999783,0.999674
130.000000,0.999725,0.999893,0.999783,0.999674
140.000000,0.999725,0.999893,0.999783,0.999674
150.000000,0.999725,0.999893,0.999783,0.999674
160.000000,0.999725,0.999893,0.999783,0.999674
170.000000,0.999725,0.999893,0.999783,0.999674
180.000000,0.999725,0.999893,0.999783,0.999674
190.000000,0.999725,0.999893,0.999783,0.999674
200.000000,0.999725,0.999893,0.999783,0.999674
