delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.906400,0.975203,0.998010,0.971896,0.986667
0.416666,0.908800,0.981664,0.998982,0.978952,0.989431
0.833333,0.914400,0.987554,0.999537,0.986322,0.992195
1.250000,0.957000,0.991200,0.999826,0.990736,0.994634
1.666666,0.953000,0.994193,0.999954,0.993933,0.996423
2.083333,0.976200,0.996128,0.999977,0.996321,0.998699
2.500000,0.978000,0.997304,0.999988,0.997805,0.998862
2.916666,0.979400,0.998444,0.999988,0.998914,0.999512
3.333333,0.987400,0.998896,0.999988,0.999325,1.000000
3.750000,0.990800,0.999299,0.999988,0.999638,1.000000
4.166666,0.996200,0.999608,1.000000,0.999831,1.000000
4.583333,0.995600,0.999762,1.000000,0.999940,1.000000
5.000000,0.998200,0.999905,1.000000,0.999964,1.000000
5.416666,0.999200,0.999941,1.000000,0.999976,1.000000
5.833333,0.999600,0.999976,1.000000,0.999976,1.000000
6.250000,0.999600,0.999976,1.000000,0.999988,1.000000
6.666666,0.999800,0.999988,1.000000,1.000000,1.000000
7.083333,1.000000,1.000000,1.000000,1.000000,1.000000
7.500000,1.000000,1.000000,1.000000,1.000000,1.000000
7.916666,1.000000,1.000000,1.000000,1.000000,1.000000
8.333333,1.000000,1.000000,1.000000,1.000000,1.000000
8.750000,1.000000,1.000000,1.000000,1.000000,1.000000
9.166666,1.000000,1.000000,1.000000,1.000000,1.000000
9.583333,1.000000,1.000000,1.000000,1.000000,1.000000
10.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10.416666,1.000000,1.000000,1.000000,1.000000,1.000000
10.833333,1.000000,1.000000,1.000000,1.000000,1.000000
11.250000,1.000000,1.000000,1.000000,1.000000,1.000000
11.666666,0.999800,1.000000,1.000000,1.000000,1.000000
12.083333,1.000000,1.000000,1.000000,1.000000,1.000000
12.500000,1.000000,1.000000,1.000000,1.000000,1.000000
12.916666,1.000000,1.000000,1.000000,1.000000,1.000000
13.333333,1.000000,1.000000,1.000000,1.000000,1.000000
13.750000,1.000000,1.000000,1.000000,1.000000,1.000000
14.166666,1.000000,1.000000,1.000000,1.000000,1.000000
14.583333,1.000000,1.000000,1.000000,1.000000,1.000000
15.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15.416666,1.000000,1.000000,1.000000,1.000000,1.000000
15.833333,1.000000,1.000000,1.000000,1.000000,1.000000
16.250000,1.000000,1.000000,1.000000,1.000000,1.000000
16.666666,1.000000,1.000000,1.000000,1.000000,1.000000
17.083333,1.000000,1.000000,1.000000,1.000000,1.000000
17.500000,1.000000,1.000000,1.000000,1.000000,1.000000
17.916666,1.000000,1.000000,1.000000,1.000000,1.000000
18.333333,1.000000,1.000000,1.000000,1.000000,1.000000
18.750000,1.000000,1.000000,1.000000,1.000000,1.000000
19.166666,1.000000,1.000000,1.000000,1.000000,1.000000
19.583333,1.000000,1.000000,1.000000,1.000000,1.000000
20.000000,1.000000,1.000000,1.000000,1.000000,1.000000
20.416666,1.000000,1.000000,1.000000,1.000000,1.000000
20.833333,1.000000,1.000000,1.000000,1.000000,1.000000
21.250000,1.000000,1.000000,1.000000,1.000000,1.000000
21.666666,1.000000,1.000000,1.000000,1.000000,1.000000
22.083333,1.000000,1.000000,1.000000,1.000000,1.000000
22.500000,1.000000,1.000000,1.000000,1.000000,1.000000
22.916666,1.000000,1.000000,1.000000,1.000000,1.000000
23.333333,1.000000,1.000000,1.000000,1.000000,1.000000
23.750000,1.000000,1.000000,1.000000,1.000000,1.000000
24.166666,1.000000,1.000000,1.000000,1.000000,1.000000
24.583333,1.000000,1.000000,1.000000,1.000000,1.000000
25.000000,1.000000,1.000000,1.000000,1.000000,1.000000
