k,observe_baseline,observe_read_repair,observe_anti_entropy
1,0.834380,0.926699,0.912487
2,0.903478,0.996962,0.995124
3,0.907041,0.999737,0.999591
4,0.907207,0.999803,0.999789
5,0.907207,0.999803,0.999789
6,0.907220,0.999803,0.999789
