delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.566800,0.805374,0.987945,0.807577,0.824255
0.416666,0.595200,0.838180,0.994585,0.840137,0.853236
0.833333,0.615600,0.868877,0.997395,0.873023,0.882041
1.250000,0.674200,0.893101,0.998876,0.897048,0.905493
1.666666,0.694600,0.916001,0.999285,0.918030,0.924814
2.083333,0.752200,0.933801,0.999796,0.936185,0.943669
2.500000,0.753800,0.947433,0.999847,0.951242,0.957402
2.916666,0.791800,0.958613,0.999898,0.964396,0.967935
3.333333,0.822200,0.966802,1.000000,0.973800,0.975733
3.750000,0.838400,0.975237,1.000000,0.981138,0.983589
4.166666,0.879000,0.981170,1.000000,0.985487,0.987954
4.583333,0.887400,0.985828,1.000000,0.989183,0.991678
5.000000,0.917800,0.989506,1.000000,0.992390,0.994239
5.416666,0.928800,0.991909,1.000000,0.994619,0.995868
5.833333,0.926800,0.993723,1.000000,0.996412,0.997323
6.250000,0.951000,0.995047,1.000000,0.997173,0.998487
6.666666,0.960400,0.996469,1.000000,0.997934,0.999185
7.083333,0.968200,0.997450,1.000000,0.998750,0.999593
7.500000,0.968000,0.998235,1.000000,0.999076,0.999825
7.916666,0.976800,0.998823,1.000000,0.999293,1.000000
8.333333,0.982600,0.999166,1.000000,0.999456,1.000000
8.750000,0.984200,0.999608,1.000000,0.999511,1.000000
9.166666,0.991200,0.999804,1.000000,0.999565,1.000000
9.583333,0.990400,0.999902,1.000000,0.999674,1.000000
10.000000,0.993600,1.000000,1.000000,0.999674,1.000000
10.416666,0.995000,1.000000,1.000000,0.999891,1.000000
10.833333,0.996800,1.000000,1.000000,1.000000,1.000000
11.250000,0.996800,1.000000,1.000000,1.000000,1.000000
11.666666,0.997000,1.000000,1.000000,1.000000,1.000000
12.083333,0.998200,1.000000,1.000000,1.000000,1.000000
12.500000,0.999200,1.000000,1.000000,1.000000,1.000000
12.916666,0.999000,1.000000,1.000000,1.000000,1.000000
13.333333,0.999800,1.000000,1.000000,1.000000,1.000000
13.750000,1.000000,1.000000,1.000000,1.000000,1.000000
14.166666,1.000000,1.000000,1.000000,1.000000,1.000000
14.583333,1.000000,1.000000,1.000000,1.000000,1.000000
15.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15.416666,1.000000,1.000000,1.000000,1.000000,1.000000
15.833333,1.000000,1.000000,1.000000,1.000000,1.000000
16.250000,1.000000,1.000000,1.000000,1.000000,1.000000
16.666666,1.000000,1.000000,1.000000,1.000000,1.000000
17.083333,1.000000,1.000000,1.000000,1.000000,1.000000
17.500000,1.000000,1.000000,1.000000,1.000000,1.000000
17.916666,1.000000,1.000000,1.000000,1.000000,1.000000
18.333333,1.000000,1.000000,1.000000,1.000000,1.000000
18.750000,1.000000,1.000000,1.000000,1.000000,1.000000
19.166666,1.000000,1.000000,1.000000,1.000000,1.000000
19.583333,1.000000,1.000000,1.000000,1.000000,1.000000
20.000000,1.000000,1.000000,1.000000,1.000000,1.000000
20.416666,1.000000,1.000000,1.000000,1.000000,1.000000
20.833333,1.000000,1.000000,1.000000,1.000000,1.000000
21.250000,1.000000,1.000000,1.000000,1.000000,1.000000
21.666666,1.000000,1.000000,1.000000,1.000000,1.000000
22.083333,1.000000,1.000000,1.000000,1.000000,1.000000
22.500000,1.000000,1.000000,1.000000,1.000000,1.000000
22.916666,1.000000,1.000000,1.000000,1.000000,1.000000
23.333333,1.000000,1.000000,1.000000,1.000000,1.000000
23.750000,1.000000,1.000000,1.000000,1.000000,1.000000
24.166666,1.000000,1.000000,1.000000,1.000000,1.000000
24.583333,1.000000,1.000000,1.000000,1.000000,1.000000
25.000000,1.000000,1.000000,1.000000,1.000000,1.000000
