delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.579400,0.977949,0.996871,0.974698,0.952967
0.400000,0.589800,0.978384,0.997867,0.974993,0.953401
0.800000,0.589600,0.979399,0.997867,0.975434,0.954124
1.200000,0.684200,0.979690,0.998009,0.975728,0.954414
1.600000,0.698000,0.979980,0.998151,0.975875,0.954848
2.000000,0.759800,0.980560,0.998435,0.976169,0.954993
2.400000,0.776600,0.980995,0.998578,0.976464,0.954993
2.800000,0.782000,0.981430,0.998862,0.976758,0.955137
3.200000,0.853000,0.981721,0.999004,0.976758,0.955282
3.600000,0.863000,0.981721,0.999004,0.977199,0.955427
4.000000,0.903600,0.982011,0.999004,0.977199,0.955572
4.400000,0.917000,0.982011,0.999147,0.977346,0.955716
4.800000,0.921000,0.982156,0.999289,0.977493,0.955861
5.200000,0.959600,0.982156,0.999431,0.977640,0.956006
5.600000,0.961600,0.982156,0.999431,0.977640,0.956151
6.000000,0.980000,0.982301,0.999573,0.977640,0.956440
6.400000,0.989400,0.982301,0.999573,0.977935,0.956585
6.800000,0.987200,0.982301,0.999573,0.977935,0.956585
7.200000,0.999000,0.982446,0.999573,0.978082,0.956729
7.600000,0.999400,0.982446,0.999716,0.978082,0.957019
8.000000,0.999600,0.982446,0.999716,0.978082,0.957019
8.400000,1.000000,0.982446,0.999716,0.978082,0.957164
8.800000,1.000000,0.982591,0.999716,0.978229,0.957308
9.200000,1.000000,0.982736,0.999716,0.978229,0.957308
9.600000,1.000000,0.982736,0.999716,0.978229,0.957453
10.000000,1.000000,0.982736,0.999716,0.978229,0.957453
10.400000,1.000000,0.982736,0.999716,0.978229,0.957598
10.800000,1.000000,0.982736,0.999716,0.978229,0.957598
11.200000,1.000000,0.982736,0.999716,0.978229,0.957598
11.600000,1.000000,0.982881,0.999716,0.978376,0.957598
12.000000,1.000000,0.982881,0.999716,0.978523,0.957742
12.400000,1.000000,0.982881,0.999716,0.978523,0.957742
12.800000,1.000000,0.983026,0.999716,0.978523,0.957742
13.200000,1.000000,0.983316,0.999858,0.978523,0.957742
13.600000,1.000000,0.983607,0.999858,0.978670,0.957742
14.000000,1.000000,0.983607,0.999858,0.978670,0.957887
14.400000,1.000000,0.983752,0.999858,0.978670,0.958177
14.800000,1.000000,0.983752,0.999858,0.978817,0.958177
15.200000,1.000000,0.983752,0.999858,0.978817,0.958177
15.600000,1.000000,0.983752,0.999858,0.978817,0.958321
16.000000,1.000000,0.984042,0.999858,0.978817,0.958321
16.400000,1.000000,0.984187,0.999858,0.978817,0.958321
16.800000,1.000000,0.984187,0.999858,0.978817,0.958321
17.200000,1.000000,0.984187,0.999858,0.978964,0.958466
17.600000,1.000000,0.984332,0.999858,0.979112,0.958466
18.000000,1.000000,0.984332,0.999858,0.979259,0.958466
18.400000,1.000000,0.984622,0.999858,0.979259,0.958466
18.800000,1.000000,0.984767,0.999858,0.979406,0.958611
19.200000,1.000000,0.984767,0.999858,0.979406,0.958611
19.600000,1.000000,0.984767,0.999858,0.979406,0.958755
20.000000,1.000000,0.984767,0.999858,0.979406,0.958755
