delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy
0.000000,0.577000,0.914732,0.928753,0.918004
2.000000,0.863000,0.965429,0.978674,0.966012
4.000000,0.988000,0.979325,0.992389,0.979103
6.000000,0.996000,0.983496,0.995153,0.982814
8.000000,1.000000,0.986782,0.997590,0.986034
10.000000,0.995000,0.989245,0.998703,0.988697
12.000000,1.000000,0.991227,0.999306,0.990910
14.000000,1.000000,0.992583,0.999607,0.992566
16.000000,1.000000,0.994264,0.999830,0.993931
18.000000,1.000000,0.995372,0.999882,0.994991
20.000000,0.999000,0.996167,0.999921,0.995826
22.000000,1.000000,0.997106,0.999948,0.996489
24.000000,1.000000,0.997732,0.999974,0.997191
26.000000,1.000000,0.998162,0.999987,0.997747
28.000000,1.000000,0.998527,0.999987,0.998158
30.000000,1.000000,0.998775,0.999987,0.998503
32.000000,1.000000,0.999048,0.999987,0.998754
34.000000,1.000000,0.999140,0.999987,0.998913
36.000000,1.000000,0.999296,0.999987,0.999019
38.000000,1.000000,0.999413,0.999987,0.999139
40.000000,1.000000,0.999479,0.999987,0.999324
42.000000,1.000000,0.999557,1.000000,0.999417
44.000000,1.000000,0.999622,1.000000,0.999523
46.000000,1.000000,0.999700,1.000000,0.999576
48.000000,1.000000,0.999765,1.000000,0.999629
50.000000,1.000000,0.999817,1.000000,0.999735
52.000000,1.000000,0.999844,1.000000,0.999775
54.000000,1.000000,0.999883,1.000000,0.999814
56.000000,1.000000,0.999922,1.000000,0.999854
58.000000,1.000000,0.999948,1.000000,0.999867
60.000000,1.000000,0.999961,1.000000,0.999881
62.000000,1.000000,0.999987,1.000000,0.999907
64.000000,1.000000,1.000000,1.000000,0.999934
66.000000,1.000000,1.000000,1.000000,0.999947
68.000000,1.000000,1.000000,1.000000,0.999947
70.000000,1.000000,1.000000,1.000000,0.999947
72.000000,1.000000,1.000000,1.000000,0.999973
74.000000,1.000000,1.000000,1.000000,0.999973
76.000000,1.000000,1.000000,1.000000,0.999987
78.000000,1.000000,1.000000,1.000000,1.000000
80.000000,1.000000,1.000000,1.000000,1.000000
