k,observe_baseline,observe_read_repair,observe_anti_entropy
1,0.914589,0.928667,0.917820
2,0.995647,0.997210,0.995469
3,0.999752,0.999856,0.999603
4,0.999844,0.999908,0.999801
5,0.999844,0.999921,0.999801
6,0.999844,0.999921,0.999815
