delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.824871,0.977067,0.978618,0.981048
1.000000,0.824871,0.977067,0.978618,0.981048
2.000000,0.824871,0.977067,0.978618,0.981048
3.000000,0.824871,0.977067,0.978618,0.981048
4.000000,0.824871,0.977067,0.978618,0.981048
5.000000,0.824871,0.977067,0.978618,0.981048
6.000000,0.824871,0.977067,0.978618,0.981143
7.000000,0.824871,0.977067,0.978618,0.981143
8.000000,0.824871,0.977067,0.978618,0.981143
9.000000,0.824871,0.977067,0.978618,0.981143
10.000000,0.824871,0.977067,0.978618,0.981143
11.000000,0.824871,0.977067,0.978618,0.981143
12.000000,0.824871,0.977067,0.978618,0.981143
13.000000,0.824871,0.977067,0.978618,0.981143
14.000000,0.824871,0.977067,0.978618,0.981143
15.000000,0.824871,0.977067,0.978618,0.981143
16.000000,0.824871,0.977067,0.978618,0.981143
17.000000,0.824871,0.977067,0.978618,0.981143
18.000000,0.824871,0.977067,0.978618,0.981143
19.000000,0.824871,0.977067,0.978618,0.981143
20.000000,0.824871,0.977067,0.978618,0.981143
